initialization done
Initialization took 210.70384899999993 milliseconds
Edge from 15 to 61
Edge from 15 to 62
Edge from 15 to 63
Edge from 15 to 64
Edge from 15 to 65
Edge from 15 to 67
Edge from 15 to 68
Edge from 15 to 69
Edge from 15 to 70
Edge from 15 to 71
Edge from 15 to 72
Edge from 15 to 89
Edge from 15 to 97
Edge from 15 to 98
Edge from 15 to 99
Edge from 15 to 100
Edge from 15 to 101
Edge from 15 to 102
Edge from 15 to 103
Edge from 15 to 104
Edge from 15 to 105
Edge from 15 to 106
Edge from 15 to 107
Edge from 15 to 108
Edge from 15 to 109
Edge from 15 to 110
Edge from 15 to 111
Edge from 15 to 112
Edge from 15 to 113
Edge from 15 to 114
Edge from 15 to 115
Edge from 16 to 238
Edge from 17 to 18
Edge from 17 to 237
Edge from 17 to 238
Edge from 17 to 16
Edge from 18 to 232
Edge from 18 to 233
Edge from 18 to 235
Edge from 18 to 236
Edge from 18 to 237
Edge from 18 to 238
Edge from 18 to 16
Edge from 19 to 232
Edge from 19 to 233
Edge from 19 to 235
Edge from 19 to 236
Edge from 19 to 237
Edge from 19 to 18
Edge from 20 to 232
Edge from 20 to 233
Edge from 20 to 235
Edge from 20 to 236
Edge from 20 to 237
Edge from 20 to 18
Edge from 20 to 19
Edge from 21 to 20
Edge from 22 to 20
Edge from 22 to 21
Edge from 23 to 20
Edge from 23 to 21
Edge from 23 to 22
Edge from 24 to 20
Edge from 24 to 21
Edge from 24 to 22
Edge from 24 to 23
Edge from 25 to 20
Edge from 25 to 24
Edge from 26 to 25
Edge from 27 to 25
Edge from 27 to 26
Edge from 28 to 20
Edge from 28 to 21
Edge from 28 to 24
Edge from 28 to 25
Edge from 28 to 26
Edge from 28 to 27
Edge from 29 to 20
Edge from 29 to 21
Edge from 29 to 22
Edge from 29 to 24
Edge from 29 to 25
Edge from 29 to 26
Edge from 29 to 28
Edge from 30 to 20
Edge from 30 to 21
Edge from 30 to 22
Edge from 30 to 24
Edge from 30 to 25
